Date, Appling, Atkinson, Bacon, Baker, Baldwin, Banks, Barrow, Bartow, Ben Hill, Berrien, Bibb, Bleckley, Brantley, Brooks, Bryan, Bulloch, Burke, Butts, Calhoun, Camden, Candler, Carroll, Catoosa, Charlton, Chatham, Chattahoochee, Chattooga, Cherokee, Clarke, Clay, Clayton, Clinch, Cobb, Coffee, Colquitt, Columbia, Cook, Coweta, Crawford, Crisp, Dade, Dawson, Decatur, DeKalb, Dodge, Dooly, Dougherty, Douglas, Early, Echols, Effingham, Elbert, Emanuel, Evans, Fannin, Fayette, Floyd, Forsyth, Franklin, Fulton, Gilmer, Glascock, Glynn, Gordon, Grady, Greene, Gwinnett, Habersham, Hall, Hancock, Haralson, Harris, Hart, Heard, Henry, Houston, Irwin, Jackson, Jasper, Jeff, Davis, Jefferson, Jenkins, Johnson, Jones, Lamar, Lanier, Laurens, Lee, Liberty, Lincoln, Long, Lowndes, Lumpkin, Macon, Madison, Marion, McDuffie, McIntosh, Meriwether, Miller, Mitchell, Monroe, Montgomery, Morgan, Murray, Muscogee, Newton, Oconee, Oglethorpe, Paulding, Peach, Pickens, Pierce, Pike, Polk, Pulaski, Putnam, Quitman, Rabun, Randolph, Richmond, Rockdale, Schley, Screven, Seminole, Spalding, Stephens, Stewart, Sumter, Talbot, Taliaferro, Tattnall, Taylor, Telfair, Terrell, Thomas, Tift, Toombs, Towns, Treutlen, Troup, Turner, Twiggs, Union, Upson, Walker, Walton, Ware, Warren, Washington, Wayne, Webster, Wheeler, White, Whitfield, Wilcox, Wilkes, Wilkinson, Worth, Unknown
2020-03-28, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 9, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 17, 1, 1, 0, 0, 0, 0, 0, 0, 3, 1, 1, 0, 13, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
2020-03-29, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 9, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 17, 1, 1, 0, 0, 0, 0, 0, 0, 3, 2, 1, 0, 12, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
2020-03-30, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 1, 0, 9, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 17, 1, 1, 0, 0, 0, 0, 0, 0, 3, 2, 1, 0, 14, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0
2020-03-31, 0, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 2, 5, 0, 3, 0, 11, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 18, 1, 1, 0, 0, 0, 0, 0, 0, 4, 2, 1, 0, 17, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1
2020-04-01, 0, 0, 0, 1, 1, 0, 2, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 4, 5, 0, 3, 0, 15, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 0, 27, 2, 1, 0, 0, 0, 0, 0, 0, 4, 2, 1, 0, 19, 0, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
2020-04-02, 0, 0, 0, 1, 1, 0, 2, 4, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0, 0, 4, 7, 0, 5, 0, 17, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 6, 0, 0, 29, 3, 1, 0, 0, 0, 0, 0, 0, 4, 2, 1, 0, 22, 0, 0, 0, 1, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1
2020-04-03, 0, 0, 0, 1, 1, 0, 2, 3, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 3, 0, 0, 5, 8, 0, 6, 0, 18, 0, 2, 0, 0, 2, 0, 0, 1, 0, 0, 8, 0, 0, 30, 4, 1, 0, 0, 0, 0, 0, 0, 4, 2, 1, 0, 23, 0, 0, 0, 2, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 4
2020-04-04, 0, 0, 0, 1, 1, 0, 2, 7, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 3, 0, 0, 5, 8, 0, 9, 0, 20, 0, 3, 0, 0, 2, 0, 0, 1, 0, 0, 8, 0, 1, 30, 4, 1, 0, 0, 0, 0, 0, 0, 4, 3, 1, 0, 26, 0, 0, 0, 2, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 4
2020-04-05, 0, 0, 0, 1, 1, 0, 2, 7, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 3, 0, 0, 5, 8, 0, 9, 0, 23, 0, 3, 0, 0, 2, 0, 0, 1, 0, 0, 9, 0, 1, 30, 5, 1, 0, 0, 0, 0, 0, 0, 4, 3, 1, 0, 27, 0, 0, 0, 2, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 5
2020-04-06, 0, 0, 0, 1, 1, 0, 2, 7, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 3, 0, 0, 5, 8, 0, 9, 0, 25, 0, 3, 0, 0, 2, 0, 0, 1, 0, 0, 10, 0, 1, 31, 5, 1, 0, 1, 0, 0, 0, 0, 4, 3, 1, 0, 28, 0, 0, 0, 2, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 1, 0, 3, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 5
2020-04-07, 0, 0, 0, 1, 1, 0, 3, 11, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 4, 0, 0, 4, 0, 1, 5, 9, 1, 10, 0, 29, 2, 5, 0, 0, 2, 0, 0, 1, 1, 0, 11, 0, 1, 52, 5, 5, 0, 1, 0, 0, 0, 0, 4, 3, 1, 0, 36, 0, 0, 0, 3, 0, 1, 10, 0, 0, 0, 0, 0, 0, 1, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 10, 1, 0, 0, 0, 1, 2, 0, 1, 1, 2, 2, 1, 0, 0, 0, 0, 0, 0, 4, 3, 2, 1, 0, 0, 4, 0, 0, 6, 0, 0, 0, 1, 0, 9, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 7
2020-04-08, 0, 0, 0, 2, 1, 0, 3, 12, 0, 0, 1, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 4, 0, 0, 4, 0, 1, 6, 9, 1, 11, 0, 29, 2, 5, 1, 0, 2, 0, 0, 1, 1, 0, 11, 0, 1, 61, 5, 5, 0, 1, 0, 0, 0, 0, 4, 3, 2, 0, 41, 0, 0, 0, 3, 0, 1, 15, 0, 0, 0, 0, 0, 0, 1, 3, 7, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 11, 1, 0, 0, 0, 1, 3, 1, 1, 1, 2, 2, 1, 0, 0, 0, 0, 0, 0, 3, 3, 2, 1, 0, 0, 4, 0, 0, 5, 1, 0, 0, 2, 0, 9, 2, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
2020-04-09, 0, 0, 0, 2, 1, 0, 3, 12, 0, 0, 1, 0, 1, 1, 2, 0, 0, 0, 2, 0, 0, 4, 0, 0, 4, 0, 1, 6, 9, 1, 11, 0, 29, 2, 5, 0, 0, 2, 0, 0, 1, 1, 0, 12, 0, 1, 62, 5, 5, 0, 1, 0, 0, 0, 0, 3, 4, 2, 0, 45, 0, 0, 0, 3, 0, 1, 17, 0, 0, 0, 0, 0, 0, 0, 3, 7, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 14, 1, 0, 0, 0, 2, 3, 1, 1, 1, 2, 2, 1, 0, 0, 0, 0, 0, 0, 4, 4, 2, 1, 0, 0, 4, 0, 0, 5, 1, 0, 0, 2, 0, 9, 2, 1, 1, 0, 0, 3, 0, 0, 1, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 8
